,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
428,Data Engineer: Business Intelligence,IBM,4-8 Yrs,Not disclosed,Kolkata," Your Role and ResponsibilitiesAs Tableau Developer, you are responsible to create compu...",Data analysis,Business intelligence Analytics SQL reporting rdbms data engineering analysis,12 Days Ago,2023-03-07
429,Business Intelligence Analyst - Statistical Modeling,Zorba Consulting India,3-7 Yrs,Not disclosed,Mumbai," Work with internal and external stakeholders to map, define, gather, and track key metr...",Business Intelligence,python power bi statistical modeling intelligence modeling statistics bi,5 Days Ago,2023-03-07
430,Business Intelligence Analyst,Applied Materials,2-4 Yrs,Not disclosed,Bangalore/Bengaluru," Job Profile: Business Intelligence Analyst who can work alongside leadership, project m...",Business Intelligence,python excel intelligence powerpoint ssis data c#,13 Days Ago,2023-03-07
431,"Business Intelligence Analyst, Operations",Calix,1-5 Yrs,Not disclosed,Bangalore/Bengaluru, The successful candidate for this Business Intelligence Analyst position will require a...,project management,business intelligence intelligence data modeling modeling analytical analytics project,4 Days Ago,2023-03-07
432,Business Intelligence Analyst (Technical),Double Negative,2-7 Yrs,Not disclosed,"Mumbai, Chennai, Bangalore/Bengaluru", . . . . . . . Bachelors degree in computer science or a related field . . . . . . . . 2...,python,business intelligence intelligence data data analysis data visualization technical animation,3 Days Ago,2023-03-07
433,Business Intelligence Analyst,Ncircle Tech,4-5 Yrs,Not disclosed,Pune," Bachelor s degree in Engineering, Business, Marketing or Communications. . . . 3-5 year...",business intelligence,san intelligence sm automation cad crm sms,9 Days Ago,2023-03-07
434,Data Engineer: Business Intelligence,IBM,4-8 Yrs,Not disclosed,Bangalore/Bengaluru, Required Technical and Professional Expertise . . . . . . . . . Minimum 4 years of expe...,Data analysis,Scheduling Business intelligence Analytics SQL data engineering intelligence data validation,14 Days Ago,2023-03-07
435,Manager/AVP - Business Intelligence & Data Visualization - KPO,Search Light,9-14 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"," 9-14 years of experience. . - Masters degree, MBA or equivalent experience in Computer ...",Data Visualization,management etl bi business intelligence power bi tableau data,6 Days Ago,2023-03-07
436,Lead - Business Intelligence,Huquo Consulting,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR", (Lead analyst Business Intelligence):The role requires high level analytic expertise to...,Business Intelligence,bi dw tableau intelligence analytics sql management data,11 Days Ago,2023-03-07
437,Sr. Data Engineer / Deputy Manager- Business Intelligence,Axa Xl,2-6 Yrs,Not disclosed,"Hybrid - Gurgaon/Gurugram, Bangalore/Bengaluru", A minimum of a bachelor or masters degree in a relevant discipline2 to 6 years of exper...,vba,ms access power bi Advanced Excel data analytics microsoft data access,10 Days Ago,2023-03-07
438,Power BI Developer - Business Intelligence Tools,Huquo Consulting Pvt. Ltd,4-8 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru", - 4-8 years development experience in decision supportbusiness intelligence environment...,Power BI,business intelligence tools intelligence development analytics qlikview data analytics data,5 Days Ago,2023-03-07
439,"Support Business Intelligence Analyst, Technical Support",Sgtc India,1-4 Yrs,Not disclosed,Bangalore/Bengaluru," Bachelor s Degree, preferably in a technical disciplineSTRONGLY DESIRED SKILLS: . . Pow...",business analysis,analysis analytics customer service sql intelligence data technical,10 Days Ago,2023-03-07
440,Senior Business Intelligence Analyst,Lineslip Solutions,5-10 Yrs,Not disclosed,Permanent Remote, * No agencies and no third-parties* Candidates from all time zones are ENCOURAGED to ap...,power bi,business intelligence intelligence serv bi ssis data ssrs,13 Days Ago,2023-03-07
0,Relationship Manager - Retail Banking,Icici Bank,0-5 Yrs,Not disclosed,Mumbai, The candidate should have aPost-Graduate / MBA degree from a leading institution with s...,management,sales analysis value analysis relationship logistics retail banking sales process,5 Days Ago,2023-03-07
1,Walkin in Banking sales For Relationship Officer @Pune Location,Axis Bank,0-5 Yrs,1.5-2.5 Lacs PA,Pune, . Can freshers apply: Yes Language requirement: Marathi / Hindi/English . . sould have ...,banking sales,relationship sales,13 Days Ago,2023-03-07
2,Banking Relationship Officer- Mangalore Surrounding Location,Axis Bank,0-5 Yrs,2-2.5 Lacs PA,"Bhatkal, Mangaluru/Mangalore, derebail, Surathkal, kankanandy, santhekatte", URGENTLY REQUIRED RO FOR MANGALORE LOCATIONS,sales,bfsi direct banking product finance home loans field b2c sales,1 Day Ago,2023-03-07
3,Axis Bank Hiring Relationship Officer @ Kolkata Under Partners Payroll,Axis Bank,10 Mar,1.5-2.5 Lacs PA,Kolkata, Minimum Experience: 6 Months plus,Field Sales Executive,field sales banking sales iprocess personal loans field personal b2c sales,1 Day Ago,2023-03-07
4,"Virtual Relationship Manager at Hdfc Bank(Pune, Mohali & Ahmedabad)",Ayka Communication,0-4 Yrs,2-2.75 Lacs PA,"Mohali, Pune, Ahmedabad", Fresher / Experienced. . Qualification - Any graduates can applySome Experience as Clie...,BPO,Bank Sales english treasury relationship management management communication skills,2 Days Ago,2023-03-07
5,Hdfc Bank - Wholesale Credit Manager role - CA Fresher,Hdfc Bank,0-5 Yrs,Not disclosed,"Pune, Mumbai (All Areas)", HDFC bank is hiring for Wholesale Credit Vertical - Credit Manager role - CA FRESHEROng...,credit management,credit manager credit underwriting credit wholesale management credit appraisal ca,30+ Days Ago,2023-03-07
6,Relationship Officer- Home Loan- Retail Banking-Bangalore,Axis Bank,0-5 Yrs,1.75-2.5 Lacs PA,Bangalore/Bengaluru(Electronic City +3)," EXPERIANCE - Freshers and experienced can apply, Both Men and women are eligible",Sales,marketing telecom sales showroom direct sales retail business development field,2 Days Ago,2023-03-07
7,Relationship Manager-Business Banking,IDFC FIRST Bharat,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad, Graduate - Any . . Post Graduate - MBA / CA Preferred (Tier I) . . . The role entails p...,management,credit assessment acquisition business banking analytics relationship relationship management monitoring,12 Days Ago,2023-03-07
8,Hiring freshers - Banking Process,Teleperformance (TP),04 Mar - 13 Mar,1.75-2 Lacs PA,Bangalore/Bengaluru(Marathahalli), male [rotational shift] female [day rotational shift],CSA,Customer Service fresher Domestic BPO banking process calling inbound relationship,2 Days Ago,2023-03-07
9,Freshers job in Bank,PVR Cinemas,0-1 Yrs,2-2.75 Lacs PA,"Madurai, Chennai, Coimbatore", Skills: BANKING AND FINANCE KNOWLEDGE MUST. . Job Type: FULL TIME / ON ROLL(permanent j...,Banking Operations,branch operations private banking banking operation operations freshers Banking B.E,1 Day Ago,2023-03-07
10,"Wanted Freshers For PVT Bank- Banking Officer Role, Teller",Calibre Infotech,0-2 Yrs,2.5-3.75 Lacs PA,"Theni, Coimbatore, Erode"," Were hiring for Banking Sector PVT Banking profile in Coimbatore, Erode, Salem, Karur E...",fresher,finance operation finance financial operations operations banking,2 Days Ago,2023-03-07
11,Relationship Manager: Retail Banking (PAN India),Icici Bank,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)", The candidate should have a Post-Graduate / MBA degree from a leading institution with ...,Sales,management selling mortgage customer handling retail banking development pan,Few Hours Ago,2023-03-07
